"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"94","GO:1905954","positive regulation of lipid localization",37,16,4.4,11.6,1.8e-06,"<0.001",3.6
"95","GO:0043067","regulation of programmed cell death",430,84,51.7,32.3,1.8e-06,"<0.001",1.6
"96","GO:0051050","positive regulation of transport",326,68,39.2,28.8,1.8e-06,"<0.001",1.7
"97","GO:0008047","enzyme activator activity",209,49,25.1,23.9,1.8e-06,"<0.001",2
"98","GO:0009896","positive regulation of catabolic process",103,30,12.4,17.6,2e-06,"<0.001",2.4
"99","GO:0012505","endomembrane system",938,156,112.7,43.3,2.1e-06,"<0.001",1.4
"100","GO:0031329","regulation of cellular catabolic process",136,36,16.3,19.7,2.4e-06,"<0.001",2.2
"101","GO:0031347","regulation of defense response",211,49,25.4,23.6,2.4e-06,"<0.001",1.9
"102","GO:0042981","regulation of apoptotic process",420,82,50.5,31.5,2.5e-06,"<0.001",1.6
"103","GO:0009925","basal plasma membrane",104,30,12.5,17.5,2.5e-06,"<0.001",2.4
"104","GO:0016192","vesicle-mediated transport",441,85,53,32,2.7e-06,"<0.001",1.6
"105","GO:0043085","positive regulation of catalytic activity",357,72,42.9,29.1,3.2e-06,"4.0000000000000001E-3",1.7
"106","GO:0042325","regulation of phosphorylation",403,79,48.4,30.6,3.3e-06,"4.0000000000000001E-3",1.6
"107","GO:1905952","regulation of lipid localization",56,20,6.7,13.3,3.4e-06,"4.0000000000000001E-3",3
"108","GO:0016477","cell migration",629,112,75.6,36.4,3.5e-06,"4.0000000000000001E-3",1.5
"109","GO:0019538","protein metabolic process",1095,176,131.6,44.4,3.6e-06,"4.0000000000000001E-3",1.3
"110","GO:0043231","intracellular membrane-bounded organelle",2059,299,247.5,51.5,3.8e-06,"4.0000000000000001E-3",1.2
"111","GO:0044093","positive regulation of molecular function",478,90,57.5,32.5,3.8e-06,"4.0000000000000001E-3",1.6
"112","GO:0016042","lipid catabolic process",66,22,7.9,14.1,4.2e-06,"4.0000000000000001E-3",2.8
"113","GO:0009057","macromolecule catabolic process",185,44,22.2,21.8,4.2e-06,"4.0000000000000001E-3",2
"114","GO:0044267","cellular protein metabolic process",941,155,113.1,41.9,4.2e-06,"6.0000000000000001E-3",1.4
"115","GO:0031323","regulation of cellular metabolic process",1287,201,154.7,46.3,4.2e-06,"6.0000000000000001E-3",1.3
"116","GO:0006869","lipid transport",112,31,13.5,17.5,4.4e-06,"8.0000000000000002E-3",2.3
"117","GO:0007165","signal transduction",1551,235,186.4,48.6,4.4e-06,"8.0000000000000002E-3",1.3
"118","GO:0002684","positive regulation of immune system process",334,68,40.1,27.9,4.4e-06,"8.0000000000000002E-3",1.7
"119","GO:0044242","cellular lipid catabolic process",48,18,5.8,12.2,4.8e-06,"0.01",3.1
"120","GO:0044238","primary metabolic process",1846,272,221.9,50.1,4.8e-06,"0.01",1.2
"121","GO:0030169","low-density lipoprotein particle binding",11,8,1.3,6.7,4.9e-06,"0.01",6.1
"122","GO:0032994","protein-lipid complex",17,10,2,8,5.2e-06,"0.01",4.9
"123","GO:1901701","cellular response to oxygen-containing compound",369,73,44.4,28.6,5.7e-06,"1.4E-2",1.6
"124","GO:0006793","phosphorus metabolic process",699,121,84,37,5.8e-06,"1.4E-2",1.4
"125","GO:0010941","regulation of cell death",491,91,59,32,6.6e-06,"1.4E-2",1.5
"126","GO:0016323","basolateral plasma membrane",93,27,11.2,15.8,6.9e-06,"1.4E-2",2.4
"127","GO:0009894","regulation of catabolic process",171,41,20.6,20.4,7.2e-06,"1.4E-2",2
"128","GO:0071705","nitrogen compound transport",425,81,51.1,29.9,7.6e-06,"1.4E-2",1.6
"129","GO:0051336","regulation of hydrolase activity",327,66,39.3,26.7,8.4e-06,"1.7999999999999999E-2",1.7
"130","GO:0050789","regulation of biological process",2675,371,321.5,49.5,8.9e-06,"1.7999999999999999E-2",1.2
"131","GO:0060255","regulation of macromolecule metabolic process",1362,209,163.7,45.3,9e-06,"1.7999999999999999E-2",1.3
"132","GO:0006796","phosphate-containing compound metabolic process",691,119,83.1,35.9,9.2e-06,"1.7999999999999999E-2",1.4
"133","GO:0071219","cellular response to molecule of bacterial origin",79,24,9.5,14.5,9.5e-06,"1.7999999999999999E-2",2.5
"134","GO:0010628","positive regulation of gene expression",381,74,45.8,28.2,9.9e-06,"1.7999999999999999E-2",1.6
"135","GO:0051240","positive regulation of multicellular organismal process",587,104,70.6,33.4,1.1e-05,"1.7999999999999999E-2",1.5
"136","GO:0009967","positive regulation of signal transduction",497,91,59.7,31.3,1.1e-05,"1.7999999999999999E-2",1.5
"137","GO:0001819","positive regulation of cytokine production",186,43,22.4,20.6,1.2e-05,"1.7999999999999999E-2",1.9
"138","GO:0034248","regulation of cellular amide metabolic process",75,23,9,14,1.2e-05,"0.02",2.6
"139","GO:0038187","pattern recognition receptor activity",15,9,1.8,7.2,1.3e-05,"2.1999999999999999E-2",5
"140","GO:0006082","organic acid metabolic process",175,41,21,20,1.3e-05,"2.4E-2",1.9
"141","GO:0048522","positive regulation of cellular process",1557,233,187.2,45.8,1.4e-05,"2.4E-2",1.2
"142","GO:0048878","chemical homeostasis",365,71,43.9,27.1,1.4e-05,"2.4E-2",1.6
"143","GO:0012501","programmed cell death",514,93,61.8,31.2,1.4e-05,"2.4E-2",1.5
"144","GO:0006915","apoptotic process",501,91,60.2,30.8,1.5e-05,"2.4E-2",1.5
"145","GO:1901615","organic hydroxy compound metabolic process",130,33,15.6,17.4,1.6e-05,"2.8000000000000001E-2",2.1
"146","GO:0034249","negative regulation of cellular amide metabolic process",30,13,3.6,9.4,1.6e-05,"2.8000000000000001E-2",3.6
"147","GO:0016298","lipase activity",30,13,3.6,9.4,1.6e-05,"2.8000000000000001E-2",3.6
"148","GO:0050727","regulation of inflammatory response",136,34,16.3,17.7,1.7e-05,"2.8000000000000001E-2",2.1
"149","GO:0043170","macromolecule metabolic process",1769,259,212.6,46.4,1.9e-05,"2.8000000000000001E-2",1.2
"150","GO:0010562","positive regulation of phosphorus metabolic process",309,62,37.1,24.9,2e-05,"3.7999999999999999E-2",1.7
"151","GO:0045937","positive regulation of phosphate metabolic process",309,62,37.1,24.9,2e-05,"3.7999999999999999E-2",1.7
"152","GO:0051239","regulation of multicellular organismal process",988,158,118.8,39.2,2e-05,"0.04",1.3
"153","GO:0016787","hydrolase activity",395,75,47.5,27.5,2e-05,"0.04",1.6
"154","GO:0043227","membrane-bounded organelle",2159,307,259.5,47.5,2e-05,"0.04",1.2
"155","GO:0071222","cellular response to lipopolysaccharide",77,23,9.3,13.7,2e-05,"0.04",2.5
"156","GO:0051716","cellular response to stimulus",1851,269,222.5,46.5,2e-05,"0.04",1.2
"157","GO:1901653","cellular response to peptide",104,28,12.5,15.5,2.2e-05,"4.3999999999999997E-2",2.2
"158","GO:0044255","cellular lipid metabolic process",203,45,24.4,20.6,2.3e-05,"4.3999999999999997E-2",1.8
"159","GO:0006807","nitrogen compound metabolic process",1759,257,211.4,45.6,2.5e-05,"4.5999999999999999E-2",1.2
